GDP,people,cz,ny,mt,cement,CO2,X,Y,Monitor_Date
19627.8,4947,51.82,10823.39,47.1,11827.06,254.5590773,580037.4854,2636593.264,2018
51765.12,4188,70.11,14988.78,46.4,9692.89,254.654212,1502505.099,2923330.339,2022
37235,5904,59.88,14159.66,80,11192.71,318.1555576,909777.9021,3436552.34,2017
21050.9,8064,41.85,15958.01,55.09,14522.3,323.6575291,-10339.30312,3401159.097,2011
16116.6,4857,49.24,10110.15,46.1,12034.87,234.3965425,580037.4854,2636593.264,2016
17790.7,4907,50.59,10456.02,45.4,12218.75,244.6895804,580037.4854,2636593.264,2017
28242.1,5816,55.73,13766.37,64.2,11423.74,325.0431991,909777.9021,3436552.34,2014
18023,3110,63.3,7099.71,53.95,6790.2,157.8130035,486885.6162,3326104.527,2016
31854.8,5570,62.3,17827.27,46.2,12196.95,389.9626517,1682641.265,3292099.742,2011
42022,5917,61,14074.61,64.1,10695.31,334.5206171,909777.9021,3436552.34,2018
11303.6,4694,43.48,8530.55,53.4,9983.95,202.9437208,580037.4854,2636593.264,2012
24259.6,7288,48.02,29664.38,88.69,12747.38,702.1012955,1198070.615,4408361.767,2013
8678,2698,46.9,9028.3,77.3,3242.75,220.3291016,1974435.634,5000319.825,2012
23204.1,2448,89.58,10890.39,41.33,750.58,189.7189941,1788614.139,3536994.615,2013
14055.5,1385,84.33,8240.7,47.23,687.74,168.3950043,1305909.089,4392637.44,2019
17848.6,4375,65.65,22313.9,61.3,5503.78,452.4958076,1725443.387,4676976.823,2012
20584,5988,47.86,11696.39,156.59,12191.88,286.2524753,1376452.422,3558268.442,2013
129513.6,12656.8,74.79,36519.05,45.3,15226.37,489.165132,1054333.13,2593224.342,2022
11253.8,2484,49.2,7000.4,65.6,1480,226.3906002,1974435.634,5000319.825,2018
11595.4,2975,56.6,5834.84,61.08,5561.78,149.7319946,486885.6162,3326104.527,2012
9043,1378,81.58,7325.56,71.44,847.42,141.8399963,1305909.089,4392637.44,2012
9306.9,2385,48.78,15666.1,67.1,4278.49,304.0623616,-1465194.621,4804717.636,2015
20025.7,4358,67.05,20585.7,62.1,5820.58,456.5807972,1725443.387,4676976.823,2014
4588.24,725,66.04,8047.9,80.4,1870.05,201.32651,336807.3497,4127075.52,2021
9630.8,2428,50.42,16302.2,67.5,4250.23,313.3340999,-1465194.621,4804717.636,2016
5566.2,1012,60.27,2270.64,30.94,1838.85,88.56329316,690471.3208,2118296.121,2020
52403.1,6170,68.91,21030.01,52,11284.99,368.1159401,1682641.265,3292099.742,2017
43608.6,4161,68.76,13905.19,48.3,9718.36,245.1634979,1502505.099,2923330.339,2020
102807.7,8477,73.4,32672.49,66.2,15275.13,644.8332062,1577891.696,3706424.294,2020
